american_football.football_coach	"American football head coach"
automotive.upholstery	"Interior"
automotive.us_fuel_economy	"US Fuel Economy"
automotive.warranty	"Warranty"
aviation.accident_type	"Aircraft accident type"
aviation.aircraft	"Aircraft"
aviation.aircraft_designer	"Aircraft designer"
aviation.aircraft_engine_type	"Aircraft Engine Type"
aviation.aircraft_line	"Aircraft Line"
aviation.aircraft_manufacturer	"Aircraft manufacturer"
aviation.aircraft_model	"Aircraft model"
aviation.aircraft_owner	"Aircraft Owner"
aviation.aircraft_ownership_count	"Aircraft Ownership Count"
aviation.aircraft_status	"Military Aircraft Use"
aviation.aircraft_type	"Aircraft type"
aviation.airline	"Airline"
aviation.airline_airport_presence	"Airline Airport Presence"
aviation.airline_alliance	"Airline alliance"
aviation.airliner_accident	"Aviation incident"
aviation.airport	"Airport"
aviation.airport_operator	"Airport operator"
aviation.airport_runway	"Airport runway"
aviation.airport_runway_surface	"Airport runway surface"
aviation.airport_terminal	"Airport terminal"
aviation.airport_type	"Airport type"
aviation.aviation_incident_aircraft_relationship	"Aviation incident/aircraft relationship"
aviation.aviation_waypoint	"Aviation waypoint"
aviation.cargo_by_year	"Cargo moved by year"
aviation.comparable_aircraft_relationship	"Comparable Aircraft Relationship"
aviation.iata_airline_designator	"IATA airline designator"
aviation.icao_airline_designator	"ICAO airline designator"
aviation.waypoint_type	"Waypoint type"
award.award	"Award"
award.award_achievement_level	"Award achievement level"
award.award_announcement	"Award announcement"
award.award_category	"Award category"
award.award_ceremony	"Award ceremony"
award.award_discipline	"Award discipline"
award.award_honor	"Award Honor"
award.award_judge	"Award Judge"
award.award_judging_term	"Award Judging Term"
award.award_nominated_work	"Award-Nominated Work"
award.award_nomination	"Award Nomination"
award.award_nomination_announcement	"Award nomination announcement"
award.award_nominee	"Award Nominee"
award.award_presenting_organization	"Award Presenting Organization"
award.award_winner	"Award Winner"
award.award_winning_work	"Award-Winning Work"
award.category_ceremony_relationship	"Award category/ceremony relationship"
award.competition	"Competition"
award.competition_type	"Competition type"
award.competitor	"Competitor"
award.hall_of_fame	"Hall of fame"
award.hall_of_fame_discipline	"Hall of fame discipline"
award.hall_of_fame_inductee	"Hall of fame inductee"
award.hall_of_fame_induction	"Hall of fame induction"
award.hall_of_fame_induction_category	"Hall of fame induction category"
award.long_list_nomination	"Long list nomination"
award.long_list_nominee	"Long-list nominee"
award.long_listed_work	"Long-listed work"
award.ranked_item	"Ranked item"
award.ranked_list	"Ranked list"
award.ranked_list_compiler	"Ranked list compiler"
award.ranking	"Ranking"
award.recurring_award_ceremony	"Recurring award ceremony"
award.recurring_competition	"Recurring competition"
baseball.baseball_coach	"Baseball Coach"
baseball.baseball_coaching_position	"Baseball Coaching Position"
baseball.baseball_division	"Baseball Division"
baseball.baseball_historical_managerial_position	"Baseball Historical Managerial Position"
baseball.baseball_league	"Baseball League"
baseball.baseball_manager	"Baseball Manager"
baseball.baseball_player	"Baseball Player"
baseball.baseball_position	"Baseball Position"
baseball.baseball_team	"Baseball Team"
baseball.baseball_team_stats	"Baseball Team Stats"
baseball.batting_statistics	"Batting Statistics"
baseball.current_coaching_tenure	"Current Coaching Tenure"
baseball.historical_coaching_tenure	"Historical Coaching Tenure"
baseball.lifetime_batting_statistics	"Lifetime Batting Statistics"
basketball.basketball_coach	"Basketball Coach"
basketball.basketball_conference	"Basketball Conference"
basketball.basketball_division	"Basketball Division"
basketball.basketball_historical_coach_position	"Basketball Historical Coach Position"
basketball.basketball_player	"Basketball Player"
basketball.basketball_player_career_stats	"Basketball Player Career Stats"
basketball.basketball_player_stats	"Basketball Player Stats"
basketball.basketball_position	"Basketball Position"
basketball.basketball_team	"Basketball Team"
basketball.basketball_team_stats	"Basketball Team Stats"
bicycles.bicycle_manufacturer	"Bicycle manufacturer"
bicycles.bicycle_model	"Bicycle model"
bicycles.bicycle_type	"Bicycle type"
biology.amino_acid	"Amino Acid"
biology.animal	"Animal"
biology.animal_breed	"Animal breed"
biology.animal_owner	"Animal owner"
biology.animal_ownership	"Animal ownership"
biology.breed_coloring	"Breed coloring"
biology.breed_group	"Breed group"
biology.breed_origin	"Breed origin"
biology.breed_registration	"Breed registration"
biology.breed_registry	"Breed registry"
biology.breed_temperament	"Breed temperament"
biology.chromosome	"Chromosome"
biology.cytogenetic_band	"Cytogenetic Band"
biology.deceased_organism	"Deceased Organism"
biology.domesticated_animal	"Domesticated animal"
biology.fossil_site	"Fossil site"
biology.fossil_specimen	"Fossil specimen"
biology.gene	"Gene"
biology.gene_group	"Gene Group"
biology.gene_group_membership	"Gene Group Membership"
biology.gene_group_membership_evidence	"Gene Group Membership Evidence"
biology.gene_ontology_data_source	"Gene Ontology Data Source"
biology.gene_ontology_group	"Gene Ontology Group"
biology.gene_ontology_group_membership_evidence	"Gene Ontology Group Membership Evidence"
biology.gene_ontology_group_membership_evidence_type	"Gene Ontology Group Membership Evidence Type"
biology.gene_ontology_group_type	"Gene Ontology Group Type"
biology.genome	"Genome"
biology.genome_build	"Genome Build"
biology.genome_curator	"Genome Curator"
biology.genomic_locus	"Genomic Locus"
biology.hybrid	"Hybrid"
biology.hybrid_parent_classification	"Hybrid parent classification"
biology.hybrid_parent_gender	"Hybrid parent gender"
biology.hybrid_parentage	"Hybrid parentage"
biology.informal_biological_grouping	"Informal biological grouping"
biology.organism	"Organism"
biology.organism_classification	"Organism Classification"
biology.organism_classification_placement	"Organism Classification Placement"
biology.organism_classification_rank	"Organism Classification Rank"
biology.organism_part	"Organism part"
biology.owned_animal	"Owned animal"
biology.pedigreed_animal	"Pedigreed animal"
biology.plant_disease	"Plant Disease"
biology.plant_disease_cause	"Plant Disease Cause"
biology.plant_disease_conditions	"Plant Disease Conditions"
biology.plant_disease_documentation	"Plant disease documentation"
biology.plant_disease_host	"Plant Disease Host"
biology.plant_disease_triangle	"Plant Disease Triangle"
biology.protein	"Protein"
biology.source_organism	"Source organism"
biology.taxon_with_sequenced_genome	"Taxon with Sequenced Genome"
biology.taxonomic_authority	"Taxonomic Authority"
boats.boat_disposition	"Boat Disposition"
boats.boat_fate	"Boat Fate"
boats.engine	"Engine"
boats.engine_fuel	"Engine Fuel"
boats.hull_configuration	"Hull Configuration"
boats.hull_material	"Hull material"
boats.means_of_propulsion	"Means of propulsion"
boats.motor	"Motor"
boats.nuclear_powerplant	"Nuclear Ship Powerplant"
boats.ship	"Ship"
boats.ship_builder	"Ship Builder"
boats.ship_class	"Ship class"
boats.ship_designer	"Ship Designer"
boats.ship_owner	"Ship owner"
boats.ship_ownership	"Ship ownership"
boats.ship_powerplant	"Ship Powerplant"
boats.ship_powerplant_system	"Ship Powerplant System"
boats.ship_type	"Ship type"
boats.warship_armament	"Warship Armament"
boats.warship_service_period	"Warship Service Period"
book.audio_book_reader	"Audio book reader"
book.author	"Author"
book.book	"Book"
book.book_binding	"Book Binding"
book.book_character	"Book Character"
book.book_edition	"Book Edition"
book.book_edition_series	"Book edition series"
book.book_subject	"Literature Subject"
book.cited_work	"Cited work"
book.contents	"Contents"
book.editor_title	"Editor title"
book.editorial_tenure	"Editorial tenure"
book.excerpt	"Excerpt"
book.excerpted_work	"Excerpted Work"
book.financial_support_provider	"Financial support provider"
book.illustrator	"Illustrator"
book.interview	"Interview"
book.interviewee	"Interviewee"
book.interviewer	"Interviewer"
book.isbn	"ISBN"
book.journal	"Journal"
book.journal_article	"Journal article"
book.journal_publication	"Journal publication"
book.literary_series	"Literary Series"
book.magazine	"Magazine"
book.magazine_genre	"Magazine genre"
book.magazine_issue	"Magazine Issue"
book.newspaper	"Newspaper"
book.newspaper_circulation	"Newspaper circulation"
book.newspaper_edition_type	"Newspaper edition type"
book.newspaper_issue	"Newspaper Issue"
book.newspaper_owner	"Newspaper Owner"
book.newspaper_price	"Newspaper price"
book.pagination	"Pagination"
book.periodical	"Periodical"
book.periodical_editor	"Periodical editor"
book.periodical_format	"Periodical Format"
book.periodical_format_period	"Periodical Format Period"
book.periodical_frequency	"Periodical Frequency"
book.periodical_publication_date	"Periodical Publication Date"
book.periodical_publisher	"Periodical Publisher"
book.periodical_publisher_period	"Periodical Publisher Period"
book.periodical_subject	"Periodical Subject"
book.place_of_publication_period	"Place of Publication Period"
book.poem	"Poem"
book.poem_character	"Poem character"
book.poetic_meter	"Poetic Meter"
book.poetic_verse_form	"Poetic Verse Form"
book.publication	"Publication"
book.published_work	"Published Work"
book.publisher_imprint_tenure	"Publisher/imprint tenure"
book.publishing_company	"Publisher"
book.report_issuing_institution	"Report issuing institution"
book.review	"Review"
book.reviewed_work	"Reviewed Work"
book.scholarly_financial_support	"Scholarly financial support"
book.scholarly_work	"Scholarly work"
book.school_or_movement	"Literary School Or Movement"
book.serial_installment	"Serial Installment"
book.serialized_work	"Serialized Work"
book.series_editor	"Series editor"
book.short_non_fiction	"Short Non-fiction"
book.short_non_fiction_variety	"Short Non-fiction Variety"
book.short_story	"Short Story"
book.technical_report	"Technical report"
book.translated_work	"Translated Work"
book.translation	"Translation"
book.translator	"Translator"
book.written_work	"Written Work"
boxing.boxing_decision	"Boxing decision"
boxing.boxing_match	"Boxing match"
boxing.boxing_sanctioning_body	"Boxing sanctioning body"
boxing.boxing_title	"Boxing title"
boxing.boxing_title_tenure	"Boxing title tenure"
boxing.match_boxer_relationship	"Match/boxer relationship"
broadcast.advisory	"Broadcast Advisory"
broadcast.am_terrestrial_broadcast_facility	"AM terrestrial broadcast facility"
broadcast.artist	"Broadcast Artist"
broadcast.broadcast	"Broadcast"
broadcast.broadcast_station_class	"Broadcast station class"
broadcast.cable_satellite_availability	"Cable/satellite availability"
broadcast.callsign_duration	"Callsign duration"
broadcast.content	"Broadcast Content"
broadcast.distributor	"Broadcast Distributor"
broadcast.fm_terrestrial_broadcast_facility	"FM terrestrial broadcast facility"
broadcast.genre	"Broadcast Genre"
broadcast.internet_stream	"Internet Stream"
broadcast.podcast_feed	"Podcast Feed"
broadcast.producer	"Broadcast Producer"
broadcast.radio_affiliation_duration	"Radio affiliation duration"
broadcast.radio_format	"Radio format"
broadcast.radio_network	"Radio network"
broadcast.radio_station	"Radio Station"
broadcast.radio_station_owner	"Radio station owner"
broadcast.tv_affiliation_duration	"Affiliation duration"
broadcast.tv_channel	"TV Channel"
broadcast.tv_signal_type	"TV signal type"
broadcast.tv_station	"TV Station"
broadcast.tv_station_owner	"TV station owner"
broadcast.tv_terrestrial_broadcast_facility	"TV terrestrial broadcast facility"
business.acquisition	"Acquisition"
business.advertising_slogan	"Advertising slogan"
business.asset	"Asset"
business.asset_owner	"Asset Owner"
business.asset_ownership	"Asset Ownership"
business.board_member	"Organization leader"
business.board_member_title	"Board Member Title"
business.brand	"Brand"
business.brand_colors	"Brand colors"
business.brand_slogan	"Brand slogan"
business.business_location	"Organization Location"
business.business_operation	"Business Operation"
business.company_advisor	"Organization advisor"
business.company_brand_relationship	"Company-brand relationship"
business.company_name_change	"Organization name change"
business.company_product_line_relationship	"Company-product-line relationship"
business.company_product_relationship	"Company-product relationship"
business.company_termination_type	"Organization termination type"
business.company_type	"Organization legal structure"
business.competitive_space	"Competitive Space"
business.competitive_space_mediator	"Competitive space mediator"
business.consumer_company	"Consumer company"
business.consumer_product	"Consumer product"
business.currency_sub_unit	"Currency sub-unit"
business.customer	"Customer"
business.defunct_company	"Defunct Organization"
business.employer	"Employer"
business.employment_tenure	"Employment tenure"
business.endorsed_product	"Endorsed Product"
business.holding	"Holding"
business.industry	"Industry"
business.issue	"Issue"
business.issue_type	"Issue Type"
business.issuer	"Issuer"
business.job_title	"Job title"
business.market_index	"Market Index"
business.market_share	"Market share"
business.market_size	"Market size"
business.oil_field	"Oil Field"
business.open_times	"Open Times"
business.product_category	"Product category"
business.product_endorsee	"Product Endorsee"
business.product_endorsement	"Product Endorsement"
business.product_endorser	"Product Endorser"
business.product_ingredient	"Product ingredient"
business.product_line	"Product line"
business.product_theme	"Product theme"
business.product_with_ingredients	"Product with ingredients"
business.shareholder	"Shareholder"
business.shopping_center	"Shopping center"
business.shopping_center_owner	"Shopping center owner"
business.sponsor	"Sponsor"
business.sponsored_recipient	"Sponsored Recipient"
business.sponsorship	"Sponsorship"
business.stock_ticker_symbol	"Stock listing"
business.trade_union	"Trade union"
celebrities.abused_substance	"Abused substance"
celebrities.celebrity	"Celebrity"
celebrities.friendship	"Friendship"
celebrities.legal_entanglement	"Legal entanglement"
celebrities.reason_for_arrest	"Criminal offense"
celebrities.rehab	"Rehab"
celebrities.rehab_facility	"Rehab facility"
celebrities.rivalry	"Rivalry"
celebrities.romantic_relationship	"Romantic relationship"
celebrities.romantic_relationship_type	"Romantic relationship type"
celebrities.sexual_orientation	"Sexual orientation"
celebrities.sexual_orientation_phase	"Sexual orientation phase"
celebrities.substance_abuse_problem	"Substance abuse problem"
celebrities.supercouple	"Supercouple"
chemistry.atomic_mass	"Atomic mass"
chemistry.chemical_bond	"Chemical Bond"
chemistry.chemical_classification	"Chemical Classification"
chemistry.chemical_compound	"Chemical Compound"
chemistry.chemical_element	"Chemical Element"
chemistry.chemical_series	"Chemical Series"
chemistry.electron_affinity	"Electron affinity"
chemistry.element_discoverer	"Chemical Element Discoverer"
chemistry.isotope	"Isotope"
chemistry.isotope_decay	"Isotope decay"
chemistry.molecular_entity	"Molecular entity"
chemistry.particle_spin	"Particle spin"
chemistry.periodic_table_block	"Periodic table block"
chemistry.phase_of_matter	"Phase of Matter"
chemistry.radioactive_decay_mode	"Radioactive decay mode"
chemistry.solubility	"Solubility"
chemistry.solubility_relationship	"Solubility relationship"
chess.chess_color	"Chess Color"
chess.chess_game	"Chess Game"
chess.chess_game_outcome	"Chess Game Outcome"
chess.chess_game_participation	"Chess Game Participation"
chess.chess_move	"Chess Move"
chess.chess_player	"Chess Player"
comedy.comedian	"Comedian"
comedy.comedy_genre	"Comedy genre"
comedy.comedy_group	"Comedy group"
comedy.comedy_group_membership	"Comedy group membership"
comic_books.comic_book_character	"Comic Book Character"
comic_books.comic_book_colorist	"Comic Book Colorist"
comic_books.comic_book_creator	"Comic Book Creator"
comic_books.comic_book_editor	"Comic Book Editor"
comic_books.comic_book_fictional_universe	"Comic Book Fictional Universe"
comic_books.comic_book_genre	"Comic Book Genre"
comic_books.comic_book_inker	"Comic Book Inker"
comic_books.comic_book_issue	"Comic Book Issue"
comic_books.comic_book_letterer	"Comic Book Letterer"
comic_books.comic_book_penciler	"Comic Book Penciler"
comic_books.comic_book_publisher	"Comic Book Publisher"
comic_books.comic_book_series	"Comic Book Series"
comic_books.comic_book_story	"Comic Book Story"
comic_books.comic_book_story_arc	"Comic Book Story Arc"
comic_books.comic_book_writer	"Comic Book Writer"
comic_books.comic_story_printing	"Comic Story Printing"
comic_strips.comic_strip	"Comic Strip"
comic_strips.comic_strip_character	"Comic Strip Character"
comic_strips.comic_strip_creator	"Comic Strip Creator"
comic_strips.comic_strip_creator_duration	"Comic Strip Creator Duration"
comic_strips.comic_strip_creator_role	"Comic Strip Creator Role"
comic_strips.comic_strip_genre	"Comic Strip Genre"
comic_strips.comic_strip_syndicate	"Comic Strip Syndicate"
comic_strips.comic_strip_syndicate_duration	"Comic Strip Syndicate Duration"
community.community_user	"community user"
community.discussion_thread	"discussion thread"
computer.computer	"Computer"
computer.computer_designer	"Computer Designer"
computer.computer_emulator	"Computer Emulator"
computer.computer_manufacturer_brand	"Computer Manufacturer/Brand"
computer.computer_peripheral	"Computer Peripheral"
computer.computer_peripheral_class	"Computer Peripheral Class"
computer.computer_processor	"Computer Processor"
computer.computer_product_line	"Computer Product Line"
computer.computer_scientist	"Computer Scientist"
computer.computing_platform	"Computing Platform"
computer.content_license	"Content License"
computer.file_format	"File Format"
computer.file_format_genre	"File Format Genre"
computer.html_layout_engine	"HTML Layout Engine"
computer.internet_protocol	"Internet Protocol"
computer.operating_system	"Operating System"
computer.operating_system_developer	"Operating System Developer"
computer.os_compatibility	"OS Compatibility"
computer.processor_manufacturer	"Processor Manufacturer"
computer.programming_language	"Programming Language"
computer.programming_language_designer	"Programming Language Designer"
computer.programming_language_developer	"Programming Language Developer"
computer.programming_language_paradigm	"Programming Language Paradigm"
computer.protocol_provider	"Protocol Provider"
computer.software	"Software"
computer.software_compatibility	"Software Compatibility"
computer.software_developer	"Software Developer"
computer.software_genre	"Software Genre"
computer.software_license	"Software License"
computer.web_browser	"Web browser"
computer.web_browser_extension	"Web browser extension"
conferences.conference	"Conference event"
conferences.conference_proceedings	"Conference proceedings"
conferences.conference_series	"Conference series"
conferences.conference_sponsor	"Conference sponsor"
conferences.conference_subject	"Conference subject"
conferences.conference_venue	"Conference venue"
conferences.type_of_conference	"Type of conference"
cricket.cricket_administrative_body	"Cricket Administrative Body"
cricket.cricket_batting_stroke	"Cricket Batting Stroke"
cricket.cricket_bowler	"Cricket Bowler"
cricket.cricket_bowler_stats	"Cricket Bowler Stats"
cricket.cricket_bowling_pace	"Cricket Bowling Pace"
cricket.cricket_bowling_technique	"Cricket Bowling Technique"
cricket.cricket_coach	"Cricket Coach"
cricket.cricket_coach_tenure	"Cricket Coach Tenure"
cricket.cricket_delivery_type	"Cricket Delivery Type"
cricket.cricket_league	"Cricket League"
cricket.cricket_match	"Cricket Match"
cricket.cricket_match_type	"Cricket Match Type"
cricket.cricket_player	"Cricket Player"
cricket.cricket_player_debut	"Cricket Player Debut"
cricket.cricket_player_stats	"Cricket Player Stats"
cricket.cricket_roster	"Cricket Roster"
cricket.cricket_roster_batting	"Cricket Roster Batting"
cricket.cricket_roster_bowling	"Cricket Roster Bowling"
cricket.cricket_roster_extras	"Cricket Roster Extras"
cricket.cricket_roster_keeping	"Cricket Roster Keeping"
cricket.cricket_series	"Cricket Series"
cricket.cricket_series_event	"Cricket Series Event"
cricket.cricket_stadium	"Cricket Stadium"
cricket.cricket_team	"Cricket Team"
cricket.cricket_team_stats	"Cricket Team Stats"
cricket.cricket_tournament	"Cricket Tournament"
cricket.cricket_tournament_event	"Cricket Tournament Event"
cricket.cricket_umpire	"Cricket Umpire"
cricket.cricket_umpire_panel	"Cricket Umpire Panel"
cricket.cricket_umpire_panel_membership	"Cricket Umpire Panel Membership"
cricket.dismissal_type	"Dismissal Type"
cricket.fall_of_wicket	"Fall Of Wicket"
cricket.team_inning_batting_stats	"Team Inning Batting Stats"
cvg.computer_game_compilation	"Video Game Compilation"
cvg.computer_game_content_descriptor	"Video Game Content Descriptor"
cvg.computer_game_distribution_system	"Video Game Distribution System"
cvg.computer_game_engine	"Video Game Engine"
cvg.computer_game_engine_developer	"Video Game Engine Developer"
cvg.computer_game_engine_family	"Video Game Engine Family"
cvg.computer_game_evaluation	"Video Game Evaluation"
cvg.computer_game_expansion	"Video Game Expansion"
cvg.computer_game_mod	"Video Game Mod"
cvg.computer_game_performance_type	"Video Game Performance Type"
cvg.computer_game_rating	"Video Game Rating"
cvg.computer_game_rating_system	"Video Game Rating System"
cvg.computer_game_region	"Video Game Region"
cvg.computer_game_subject	"Video Game Subject"
cvg.computer_videogame	"Video game"
cvg.cvg_designer	"Video Game Designer"
cvg.cvg_developer	"Video Game Developer"
cvg.cvg_genre	"Video Game Genre"
cvg.cvg_platform	"Video Game Platform"
cvg.cvg_platform_family	"Video Game Platform Family"
cvg.cvg_publisher	"Video Game Publisher"
cvg.game_character	"Video Game Character"
cvg.game_performance	"Video Game Performance"
cvg.game_series	"Video Game Series"
cvg.game_version	"Video Game Version"
cvg.game_voice_actor	"Video Game Actor"
cvg.gameplay_mode	"Gameplay Mode"
cvg.input_method	"Input Method"
cvg.musical_game	"Musical Game"
cvg.musical_game_song	"Musical Game Song"
cvg.musical_game_song_relationship	"Musical game/song relationship"
cvg.video_game_soundtrack	"Video game soundtrack"
digicams.camera_color_filter_array_type	"Camera Color Filter Array Type"
digicams.camera_compressed_format	"Camera Compressed Format"
digicams.camera_digital_zoom_capability	"Camera Digital Zoom Capability"
digicams.camera_dimensions	"Camera Dimensions"
digicams.camera_format	"Camera Format"
digicams.camera_image_ratio	"Camera Image Ratio"
digicams.camera_image_stabilization	"Camera Image Stabilization"
digicams.camera_iso	"Camera ISO Capability"
digicams.camera_resolution	"Camera Resolution"
digicams.camera_sensor_manufacturer	"Camera Sensor Manufacturer"
digicams.camera_sensor_size	"Camera Sensor Size"
digicams.camera_sensor_type	"Camera Sensor Type"
digicams.camera_storage_type	"Camera Storage Type"
digicams.camera_uncompressed_format	"Camera Uncompressed Format"
digicams.camera_viewfinder_type	"Camera Viewfinder Type"
digicams.digital_camera	"Digital Camera"
digicams.digital_camera_manufacturer	"Digital Camera Brand"
digicams.image_stabilization_type	"Camera Image Stabilization Type"
dining.chef	"Chef"
dining.cuisine	"Cuisine"
dining.restaurant	"Restaurant"
dining.restaurant_chef_association	"Restaurant-chef association"
distilled_spirits.blended_spirit	"Blended spirit"
