sports.pro_athlete.teams..sports.sports_team_roster.team	was claimed off waivers by the	0.85	4.91
sports.pro_athlete.teams..sports.sports_team_roster.team	is NAT professional baseball pitcher for the	0.97	4.84
sports.pro_athlete.teams..sports.sports_team_roster.team	previously played for	0.88	4.68
sports.pro_athlete.teams..sports.sports_team_roster.team	signed a minor league deal with the	0.95	4.56
sports.pro_athlete.teams..sports.sports_team_roster.team	joined	0.53	4.56
sports.pro_athlete.teams..sports.sports_team_roster.team	was drafted by the	0.57	4.37
sports.pro_athlete.teams..sports.sports_team_roster.team	scored for	0.80	4.14
sports.pro_athlete.teams..sports.sports_team_roster.team	was called up to the	0.70	4.08
sports.pro_athlete.teams..sports.sports_team_roster.team	last played for	0.89	4.05
sports.pro_athlete.teams..sports.sports_team_roster.team	then signed for	0.92	3.97
government.politician.party..government.political_party_tenure.party	was elected as a	0.98	7.60
government.politician.party..government.political_party_tenure.party	is NAT politician for the	1.00	6.00
government.politician.party..government.political_party_tenure.party	was NAT politician for the	1.00	5.91
government.politician.party..government.political_party_tenure.party	ran as a	0.98	5.12
government.politician.party..government.political_party_tenure.party	ran as the	0.97	4.78
government.politician.party..government.political_party_tenure.party	stood as the	0.97	4.51
government.politician.party..government.political_party_tenure.party	sought the	0.95	4.35
government.politician.party..government.political_party_tenure.party	was an unsuccessful	0.99	4.29
government.politician.party..government.political_party_tenure.party	is NAT politician of the	1.00	4.22
government.politician.party..government.political_party_tenure.party	stood as a	0.98	3.95
government.politician.party..government.political_party_tenure.party	was elected leader of the	0.89	3.94
government.politician.party..government.political_party_tenure.party	was elected as an	0.90	3.91
government.politician.party..government.political_party_tenure.party	was NAT politician of the	1.00	3.83
government.politician.party..government.political_party_tenure.party	was selected as the	0.78	3.81
government.politician.party..government.political_party_tenure.party	was unopposed in the	1.00	3.78
government.politician.party..government.political_party_tenure.party	was the unsuccessful	1.00	3.76
government.politician.party..government.political_party_tenure.party	was a candidate for the	0.90	3.75
government.politician.party..government.political_party_tenure.party	became leader of the	0.83	3.73
government.politician.party..government.political_party_tenure.party	is NAT politician from the	0.96	3.59
government.politician.party..government.political_party_tenure.party	was elected on the	1.00	3.53
award.award_winner.awards_won..award.award_honor.award	was awarded the	0.81	6.46
award.award_winner.awards_won..award.award_honor.award	received the	0.67	4.79
award.award_winner.awards_won..award.award_honor.award	were awarded the	0.93	4.47
award.award_winner.awards_won..award.award_honor.award	shared the	0.73	3.56
award.award_winner.awards_won..award.award_honor.award	who was awarded the	0.93	3.43
award.award_winner.awards_won..award.award_honor.award	who received the	0.84	3.17
award.award_winner.awards_won..award.award_honor.award	was awarded a	0.63	3.12
award.award_winner.awards_won..award.award_honor.award	was awarded a posthumous	0.95	2.85
award.award_winner.awards_won..award.award_honor.award	won the annual	0.54	2.68
award.award_winner.awards_won..award.award_honor.award	had been awarded the	0.90	2.66
award.award_winner.awards_won..award.award_honor.award	was recommended for the	1.00	2.56
award.award_winner.awards_won..award.award_honor.award	also received the	0.64	2.45
award.award_winner.awards_won..award.award_honor.award	received the prestigious	0.88	2.39
award.award_winner.awards_won..award.award_honor.award	was presented with the	0.66	2.39
award.award_winner.awards_won..award.award_honor.award	was honored with the	0.66	2.17
award.award_winner.awards_won..award.award_honor.award	was honoured with the	0.75	2.17
award.award_winner.awards_won..award.award_honor.award	was awarded the prestigious	0.75	2.17
award.award_winner.awards_won..award.award_honor.award	was the recipient of the	0.58	2.09
award.award_winner.awards_won..award.award_honor.award	who later won the	0.78	2.05
award.award_winner.awards_won..award.award_honor.award	was decorated with the	0.71	2.01
people.person.children	was the father of	0.96	6.28
people.person.children	son	0.86	5.02
people.person.children	is the father of	0.87	5.00
people.person.children	was the mother of	0.93	4.90
people.person.children	daughter	0.88	4.38
people.person.children	whose son	0.95	3.86
people.person.children	is the mother of	0.85	3.42
people.person.children	was father of	0.97	3.39
people.person.children	was also the father of	0.87	3.29
people.person.children	who was the father of	0.96	3.18
people.person.children	passed the throne to	1.00	3.09
people.person.children	gave birth to	0.64	2.92
people.person.children	is also the father of	0.85	2.67
people.person.children	whose daughter	0.82	2.58
people.person.children	was succeeded by	0.59	2.55
people.person.children	sons	0.81	2.52
people.person.children	fathered	0.81	2.46
people.person.children	a son	0.87	2.22
people.person.children	who was the mother of	0.92	2.20
people.person.children	yielded the throne to	1.00	2.08
people.person.education..education.education.institution	attended	0.96	9.53
people.person.education..education.education.institution	graduated from	0.96	9.17
people.person.education..education.education.institution	was educated at	0.97	8.85
people.person.education..education.education.institution	attended the	0.95	8.60
people.person.education..education.education.institution	graduated from the	0.96	8.50
people.person.education..education.education.institution	studied at the	0.95	7.82
people.person.education..education.education.institution	studied at	0.95	7.51
people.person.education..education.education.institution	is a graduate of	0.98	7.25
people.person.education..education.education.institution	was educated at the	0.95	7.08
people.person.education..education.education.institution	played college football at the	0.97	6.97
people.person.education..education.education.institution	enrolled at the	0.97	6.91
people.person.education..education.education.institution	enrolled at	0.96	6.76
people.person.education..education.education.institution	then attended	0.98	6.69
people.person.education..education.education.institution	is a graduate of the	0.96	6.47
people.person.education..education.education.institution	studied law at the	0.99	6.35
people.person.education..education.education.institution	then attended the	0.98	6.13
people.person.education..education.education.institution	later attended	0.99	5.91
people.person.education..education.education.institution	matriculated at	0.98	5.81
people.person.education..education.education.institution	studied law at	0.97	5.74
people.person.education..education.education.institution	enrolled in the	0.91	5.63
people.deceased_person.place_of_death	died in	0.78	7.59
people.deceased_person.place_of_death	died at	0.87	7.04
people.deceased_person.place_of_death	retired to	0.77	4.48
people.deceased_person.place_of_death	settled in	0.61	3.89
people.deceased_person.place_of_death	was assassinated in	0.88	3.83
people.deceased_person.place_of_death	died in a	0.72	3.47
people.deceased_person.place_of_death	died suddenly in	0.82	3.41
people.deceased_person.place_of_death	was executed in	0.87	3.24
people.deceased_person.place_of_death	was killed in	0.77	3.23
people.deceased_person.place_of_death	died near	0.78	3.16
people.deceased_person.place_of_death	resided in	0.57	2.96
people.deceased_person.place_of_death	died at the	0.66	2.95
people.deceased_person.place_of_death	died suddenly at	0.83	2.92
people.deceased_person.place_of_death	was a longtime resident of	0.80	2.77
people.deceased_person.place_of_death	was murdered in	0.71	2.73
people.deceased_person.place_of_death	died on	0.77	2.72
people.deceased_person.place_of_death	was killed at	0.86	2.72
people.deceased_person.place_of_death	settled at	0.70	2.70
people.deceased_person.place_of_death	was hanged in	0.94	2.68
people.deceased_person.place_of_death	was executed at	0.90	2.66
