american_football.game_passing_statistics.yards_lost_on_sacks	"Yards Lost on Sacks"
american_football.game_receiving_statistics.game	"Game"
american_football.game_receiving_statistics.longest	"Longest"
american_football.game_receiving_statistics.player	"Player"
american_football.game_receiving_statistics.receptions	"Receptions"
american_football.game_receiving_statistics.team	"Team"
american_football.game_receiving_statistics.touchdown_on_longest_reception	"Touchdown on Longest Reception"
american_football.game_receiving_statistics.touchdowns	"Touchdowns"
american_football.game_receiving_statistics.yards	"Yards"
american_football.game_rushing_statistics.carries	"Carries"
american_football.game_rushing_statistics.game	"Game"
american_football.game_rushing_statistics.longest	"Longest"
american_football.game_rushing_statistics.player	"Player"
american_football.game_rushing_statistics.team	"Team"
american_football.game_rushing_statistics.touchdown_on_longest_carry	"Touchdown on Longest Carry"
american_football.game_rushing_statistics.touchdowns	"Touchdowns"
american_football.game_rushing_statistics.yards	"Yards"
american_football.nfl_game.week	"Week"
american_football.player_game_statistics.as_of_week	"As of Week"
american_football.player_game_statistics.games	"Games"
american_football.player_game_statistics.player	"Player"
american_football.player_game_statistics.season	"Season"
american_football.player_game_statistics.starts	"Starts"
american_football.player_game_statistics.team	"Team"
american_football.player_passing_statistics.as_of_week	"As of Week"
american_football.player_passing_statistics.attempts	"Attempts"
american_football.player_passing_statistics.completions	"Completions"
american_football.player_passing_statistics.interceptions	"Interceptions"
american_football.player_passing_statistics.player	"Player"
american_football.player_passing_statistics.season	"Season"
american_football.player_passing_statistics.team	"Team"
american_football.player_passing_statistics.touchdowns	"Touchdowns"
american_football.player_passing_statistics.yards	"Yards"
american_football.player_receiving_statistics.as_of_week	"As of Week"
american_football.player_receiving_statistics.longest	"Longest Reception"
american_football.player_receiving_statistics.player	"Player"
american_football.player_receiving_statistics.receptions	"Receptions"
american_football.player_receiving_statistics.season	"Season"
american_football.player_receiving_statistics.team	"Team"
american_football.player_receiving_statistics.touchdown_on_longest_reception	"Touchdown on Longest Reception"
american_football.player_receiving_statistics.touchdowns	"Touchdowns"
american_football.player_receiving_statistics.yards	"Yards"
american_football.player_rushing_statistics.as_of_week	"As of Week"
american_football.player_rushing_statistics.carries	"Carries"
american_football.player_rushing_statistics.longest	"Longest Carry"
american_football.player_rushing_statistics.player	"Player"
american_football.player_rushing_statistics.season	"Season"
american_football.player_rushing_statistics.team	"Team"
american_football.player_rushing_statistics.touchdown_on_longest_carry	"Touchdown on Longest Carry"
american_football.player_rushing_statistics.touchdowns	"Touchdowns"
american_football.player_rushing_statistics.yards	"Yards"
amusement_parks.accident.date	"Date"
amusement_parks.accident.deaths	"Deaths"
amusement_parks.accident.injuries	"Injuries"
amusement_parks.accident.ride	"Ride"
amusement_parks.amusement_park_area.parks	"Parks"
amusement_parks.amusement_park_area.rides	"Rides"
amusement_parks.disney_ride.ticket	"Ticket"
amusement_parks.disney_ride_ticket.rides	"Rides"
amusement_parks.disney_ride_ticket_membership.from	"From"
amusement_parks.disney_ride_ticket_membership.ride	"Ride"
amusement_parks.disney_ride_ticket_membership.ticket	"Ticket"
amusement_parks.disney_ride_ticket_membership.to	"To"
amusement_parks.park.annual_visits	"Annual Visits"
amusement_parks.park.area	"Area"
amusement_parks.park.areas	"Theme areas"
amusement_parks.park.closed	"Closed"
amusement_parks.park.geolocation	"Geolocation"
amusement_parks.park.location	"Located In"
amusement_parks.park.name_history	"Name History"
amusement_parks.park.opened	"Opened"
amusement_parks.park.owner	"Owner"
amusement_parks.park.rcdb_id	"Roller Coaster DataBase ID"
amusement_parks.park.rides	"Rides"
amusement_parks.ride.accidents	"Accidents"
amusement_parks.ride.area	"Theme area"
amusement_parks.ride.capacity	"Capacity (riders per hour)"
amusement_parks.ride.closed	"Closed"
amusement_parks.ride.cost	"Cost"
amusement_parks.ride.designer	"Designer"
amusement_parks.ride.drop	"Drop"
amusement_parks.ride.duration	"Duration"
amusement_parks.ride.geolocation	"Geolocation"
amusement_parks.ride.height	"Height"
amusement_parks.ride.height_restriction	"Height Restriction"
amusement_parks.ride.includes_film	"Includes Film"
amusement_parks.ride.inversions	"Inversions"
amusement_parks.ride.manufacturer	"Manufacturer"
amusement_parks.ride.max_g	"G-force"
amusement_parks.ride.max_speed	"Max Speed"
amusement_parks.ride.opened	"Opened"
amusement_parks.ride.park	"Park"
amusement_parks.ride.ride_type	"Ride Type"
amusement_parks.ride.theme	"Theme"
amusement_parks.ride_designer.rides	"Rides Designed"
amusement_parks.ride_manufacturer.rides	"Rides Manufactured"
amusement_parks.ride_theme.rides	"Rides"
amusement_parks.ride_type.rides	"Rides"
amusement_parks.roller_coaster.material	"Material"
amusement_parks.roller_coaster.propulsion	"Propulsion"
amusement_parks.roller_coaster.rcdb_id	"Roller Coaster DataBase ID"
amusement_parks.roller_coaster.track_length	"Track Length"
amusement_parks.roller_coaster.train_configuration	"Train Configuration"
amusement_parks.roller_coaster_material.roller_coasters	"Roller Coasters"
amusement_parks.roller_coaster_propulsion_system.roller_coasters	"Roller Coasters"
amusement_parks.roller_coaster_train_configuration.roller_coasters	"Roller Coasters"
architecture.architect.architectural_style	"Architectural Style"
architecture.architect.structure_count	"Structure Count"
architecture.architect.structures_designed	"Structures Designed"
architecture.architectural_contractor.projects	"Projects"
architecture.architectural_structure_owner.structures_owned	"Structures Owned"
architecture.architectural_style.architects	"Architects"
architecture.architectural_style.examples	"Examples"
architecture.architecture_firm.firm_partners	"Firm Partners"
architecture.architecture_firm.projects	"Projects"
architecture.architecture_firm_partners.partner_in_firm	"Partner In Firm"
architecture.building.building_complex	"Building Complex"
architecture.building.building_function	"Building Function"
architecture.building.floor_space_square_meters	"Floor Space"
architecture.building.floors	"Floors"
architecture.building.occupant	"Occupant"
architecture.building_complex.buildings_in_complex	"Buildings In Complex"
architecture.building_complex.complex_function	"Complex function"
architecture.building_complex.floor_space_square_meters	"Floor Space"
architecture.building_complex_function.building_complexes	"Building complexes"
architecture.building_function.buildings	"Buildings"
architecture.building_occupant.buildings_occupied	"Buildings occupied"
architecture.destruction_method.structures_destroyed	"Structures destroyed"
architecture.engineer.partner_in_firm	"Partner In Firm"
architecture.engineer.projects	"Projects"
architecture.engineering_firm.partners	"Partners"
architecture.engineering_firm.projects	"Projects"
architecture.landscape_architect.landscape_project	"Landscape Projects"
architecture.landscape_project.address	"Address"
architecture.landscape_project.closed	"Closed"
architecture.landscape_project.construction_cost	"Construction Cost"
architecture.landscape_project.landscape_architect	"Landscape Architect"
architecture.landscape_project.opened	"Opened"
architecture.light_attributes.light_type	"Light Characteristic Type"
architecture.light_attributes.lighthouse_having_attributes	"Lighthouse having attributes"
architecture.light_attributes.remarks	"Remarks"
architecture.light_attributes.sequence_duration	"Sequence duration"
architecture.light_characteristic.lighthouse_having_characteristics	"Lighthouse having characteristic"
architecture.light_color_range.color	"Color"
architecture.light_color_range.light_range	"Light range"
architecture.light_color_range.lighthouse_having_color_ranges	"Lighthouse having color ranges"
architecture.light_sequence.eclipse_secs_dark	"Eclipse (secs dark)"
architecture.light_sequence.flash_secs	"Flash (secs lit)"
architecture.light_sequence.seq_num	"Seq #"
architecture.lighthouse.admiralty_number	"Admiralty number"
architecture.lighthouse.arlhs_number	"ARLHS number"
architecture.lighthouse.automated	"Automated date"
architecture.lighthouse.construction	"Construction"
architecture.lighthouse.focal_height_of_light	"Focal height of light"
architecture.lighthouse.intensity	"Intensity"
architecture.lighthouse.light_attributes	"Light attributes"
architecture.lighthouse.light_color_range	"Light color range"
architecture.lighthouse.light_sequence	"Light sequence"
architecture.lighthouse.llnr	"LLNR"
architecture.lighthouse.nga_number	"NGA number"
architecture.lighthouse.out_of_service_date	"Out of service date"
architecture.lighthouse.tower_shape	"Tower shape"
architecture.lighthouse.year_first_lit	"Year first lit"
architecture.lighthouse_construction_material.used_on_lighthouse	"Used on Lighthouse"
architecture.museum.address	"Address"
architecture.museum.director	"Director"
architecture.museum.established	"Established"
architecture.museum.type_of_museum	"Type of museum"
architecture.museum.visitors	"Visitors"
architecture.museum_director.museum	"Museum"
architecture.occupancy.building	"Building"
architecture.occupancy.from	"From"
architecture.occupancy.occupant	"Occupant"
architecture.occupancy.to	"To"
architecture.ownership.end_date	"End Date"
architecture.ownership.owner	"Owner"
architecture.ownership.start_date	"Start Date"
architecture.ownership.structure	"Structure"
architecture.skyscraper.height_with_antenna_spire_meters	"Height with antenna/spire"
architecture.structure.architect	"Architect"
architecture.structure.architectural_style	"Architectural Style"
architecture.structure.architecture_firm	"Architecture Firm"
architecture.structure.closed	"Closed"
architecture.structure.construction_cost	"Construction Cost"
architecture.structure.construction_started	"Construction Started"
architecture.structure.contractor	"Contractor"
architecture.structure.destroyed_by	"Destroyed By"
architecture.structure.destruction_date	"Destruction Date"
architecture.structure.engineer	"Engineer"
architecture.structure.engineering_firm	"Engineering Firm"
architecture.structure.height_meters	"Structural Height"
architecture.structure.opened	"Opened"
architecture.structure.owner	"Owner"
architecture.structure.topped_out	"Topped out"
architecture.tower_shape.lighthouse_has_shape	"Lighthouse having shape"
architecture.type_of_museum.museums	"Museums"
architecture.venue.capacity	"Seating capacity"
astronomy.apparent_dimension.major_axis	"Major axis"
astronomy.apparent_dimension.minor_axis	"Minor axis"
astronomy.apparent_mass.mass	"Mass"
astronomy.apparent_mass.uncertainty	"Uncertainty"
astronomy.asterism.constellations	"Constellations"
astronomy.asterism.stars	"Stars"
astronomy.asteroid.member_of_asteroid_family	"Member of Asteroid Family"
astronomy.asteroid.member_of_asteroid_group	"Member of Asteroid Group"
astronomy.asteroid.spectral_type	"Spectral Type"
astronomy.asteroid_family.asteroid_family_member	"Asteroid Family Member"
astronomy.asteroid_family.founding_asteroid_family_member	"Founding Asteroid Family Member"
astronomy.asteroid_group.asteroid_group_founding_member	"Asteroid Group Founding Member"
astronomy.asteroid_group.asteroid_group_members	"Asteroid Group Members"
astronomy.asteroid_spectral_type.asteroids_of_this_type	"Asteroids Of This Type"
astronomy.astronomer.astronomical_objects_discovered	"Astronomical objects discovered"
astronomy.astronomical_discovery.discoverer	"Discoverer"
astronomy.astronomical_discovery.discovery_date	"Discovery Date"
astronomy.astronomical_discovery.discovery_organization	"Discovery Organization"
astronomy.astronomical_discovery.discovery_site	"Discovery Site"
astronomy.astronomical_discovery.discovery_technique	"Discovery Technique"
astronomy.astronomical_discovery.status	"Status"
astronomy.astronomical_discovery_status.objects	"Objects"
astronomy.astronomical_discovery_technique.astronomical_discoveries_by_this_method	"Astronomical discoveries by this method"
astronomy.astronomical_observatory.discoveries	"Discoveries"
astronomy.astronomical_observatory.telescope_s	"Telescope(s)"
astronomy.astronomical_survey_project_organization.celestial_objects_discovered	"Celestial objects discovered"
astronomy.astronomical_survey_project_organization.observatory	"Observatory"
astronomy.celestial_object.absolute_magnitude	"Absolute Magnitude"
astronomy.celestial_object.artificial_satellites	"Artificial satellites"
astronomy.celestial_object.category	"Category"
astronomy.celestial_object.celestial_age	"Age"
astronomy.celestial_object.color_index	"Color Index"
astronomy.celestial_object.cosmological_distance	"Distance"
astronomy.celestial_object.decllnation	"Declination"
astronomy.celestial_object.hipparcos_catalog_number	"Hipparcos Catalog Number"
astronomy.celestial_object.locations	"Locations"
astronomy.celestial_object.magnitude	"Apparent Magnitude"
astronomy.celestial_object.red_shift	"Red Shift"
astronomy.celestial_object.right_ascention	"Right Ascension"
astronomy.celestial_object_age.age	"Age"
astronomy.celestial_object_age.uncertainty	"Uncertainty"
astronomy.celestial_object_category.objects	"Objects"
astronomy.celestial_object_category.subcategories	"Subcategories"
astronomy.celestial_object_category.subcategory_of	"Subcategory of"
astronomy.celestial_object_with_coordinate_system.planetographic_coordinate_system	"Planetographic coordinate system"
astronomy.comet.comet_group	"Comet group"
astronomy.comet.designation	"Designation"
astronomy.comet.last_perihelion	"Last perihelion"
astronomy.comet.meteor_shower_spawned	"Meteor shower spawned"
astronomy.comet.next_perihelion_predicted	"Next perihelion (predicted)"
astronomy.comet_group.comet	"Comet family members"
astronomy.constellation.bordering_constellations	"Bordering Constellations old"
astronomy.constellation.bordering_constellations_new	"Bordering constellations"
astronomy.constellation.contains	"Stars"
astronomy.constellation.galaxies_observed_in_constellation	"Galaxies observed within this constellation"
astronomy.constellation.meteor_showers	"Meteor Showers"
astronomy.constellation_bordering_relationship.constellations	"Constellations"
astronomy.dwarf_planet.star_system	"Star System"
astronomy.extraterrestrial_location.contained_by	"Contained by"
astronomy.extraterrestrial_location.contains	"Contains"
astronomy.extraterrestrial_location.geolocation	"Coordinates"
astronomy.extraterrestrial_location.on_celestial_object	"On celestial object"
astronomy.extraterrestrial_location.type_of_planetographic_feature	"Type of planetographic feature"
astronomy.galactic_cluster.galaxy_groups	"Galaxy groups"
astronomy.galactic_cluster.galaxy_supercluster	"Galaxy supercluster"
astronomy.galactic_filament.galaxy_superclusters	"Galaxy superclusters"
astronomy.galactic_group.galaxies_in_group	"Galaxies in this group"
astronomy.galactic_group.galaxy_cluster	"Galaxy cluster"
astronomy.galactic_interaction.duration	"Duration"
astronomy.galactic_interaction.galaxy	"Galaxy"
astronomy.galactic_interaction.interaction_type	"Interaction type"
astronomy.galactic_interaction.status	"Status"
astronomy.galactic_interaction.when	"When"
astronomy.galactic_interaction_status.galactic_interactions	"Galactic interactions"
astronomy.galactic_interaction_type.galaxy_s_interacting_this_way	"Galaxy's interacting this way"
astronomy.galactic_shape.galaxies_of_this_shape	"Galaxies of this shape"
astronomy.galactic_super_cluster.galaxy_clusters	"Galaxy clusters"
astronomy.galactic_super_cluster.galaxy_filament	"Galaxy filament"
astronomy.galaxy.apparent_mass	"Apparent mass"
astronomy.galaxy.constellation	"Constellation"
astronomy.galaxy.diameter	"Apparent dimension"
astronomy.galaxy.galactic_group	"Galactic group"
astronomy.galaxy.galaxy_classification_hubble	"Classification"
astronomy.galaxy.interaction	"Interaction"
astronomy.galaxy.number_of_stars	"Stars"
astronomy.galaxy.satellite_galaxies	"Satellite galaxies"
astronomy.galaxy_classification_code.galaxies_of_this_code	"Galaxies of this code"
astronomy.galaxy_classification_code.galaxy_shape	"Galaxy shape"
astronomy.meteor_shower.common_calendar_occurance	"Common calendar occurrence"
astronomy.meteor_shower.meteor_shower_observation	"Meteor shower observation"
astronomy.meteor_shower.radiant	"Radiant"
astronomy.meteor_shower.source_of_meteor_shower	"Source of meteor shower"
astronomy.meteor_shower_occurrence.end_date	"Observation end date"
astronomy.meteor_shower_occurrence.observation_ends	"Observation ends"
astronomy.meteor_shower_occurrence.observation_start	"Observation starts"
astronomy.meteor_shower_occurrence.peak_of_meteor_shower	"Peak of shower"
astronomy.meteor_shower_occurrence.start_date	"Observation start date"
astronomy.meteor_shower_occurrence.zenith_hourly_rate	"Zenithal Hourly Rate (max)"
astronomy.meteoric_composition.meteorites	"Meteorites"
astronomy.meteoric_composition.notes	"Notes"
astronomy.meteorite.institutional_specimen_location	"Institutional specimen location"
astronomy.meteorite.meteorite_composition	"Meteorite composition"
astronomy.meteorite.meteorite_discovery_date	"Meteorite discovery date"
astronomy.meteorite.meteorite_discovery_geolocation	"Meteorite discovery geolocation"
astronomy.meteorite.meteorite_discovery_location	"Meteorite discovery location"
astronomy.meteorite.meteorite_fall_date	"Meteorite fall date"
astronomy.meteorite.meteorite_fall_discoverer	"Meteorite fall discoverer"
astronomy.meteorite.meteorite_fall_geolocation	"Meteorite fall geolocation"
astronomy.meteorite.meteorite_fall_location	"Meteorite fall location"
astronomy.meteorite.meteorite_mass	"Meteorite Mass"
astronomy.meteorite.meteorite_observer	"Meteorite observer"
astronomy.meteorite.meteorite_surface_crater_earth	"Meteorite surface crater (Earth)"
astronomy.meteorite.source_celestial_body	"Meteorite Source"
astronomy.meteorite_source.meteorites	"Meteorites"
astronomy.near_earth_object.near_earth_object_classification	"Near-Earth Object Classification"
astronomy.near_earth_object_classification.near_earth_objects	"Near-Earth objects"
astronomy.number_of_stars.stars	"Stars"
astronomy.number_of_stars.uncertainty	"Uncertainty"
astronomy.orbit_type.orbiting_bodies	"Orbiting bodies"
astronomy.orbital_relationship.aoapsis	"Apoapsis"
astronomy.orbital_relationship.epoch	"Epoch"
astronomy.orbital_relationship.inclination	"Inclination"
astronomy.orbital_relationship.mean_orbital_speed	"Average Orbital Speed"
astronomy.orbital_relationship.orbit_eccentricity	"Orbit Eccentricity"
astronomy.orbital_relationship.orbit_type	"Orbit Type"
astronomy.orbital_relationship.orbital_order	"Orbital Order"
astronomy.orbital_relationship.orbital_period	"Orbital Period"
astronomy.orbital_relationship.orbited_by	"Orbited by"
astronomy.orbital_relationship.orbits	"Orbits"
astronomy.orbital_relationship.periapsis	"Periapsis"
astronomy.orbital_relationship.semi_major_axis	"Semi-major Axis"
astronomy.planetographic_coordinate.coordinate_system	"Coordinate system"
astronomy.planetographic_coordinate.elevation	"Elevation"
astronomy.planetographic_coordinate.extraterrestrial_location	"Extraterrestrial location"
astronomy.planetographic_coordinate.latitude	"Latitude"
astronomy.planetographic_coordinate.longitude	"Longitude"
astronomy.planetographic_coordinate_system.celestial_object	"Celestial object"
astronomy.planetographic_coordinate_system.prime_meridian_feature	"Prime meridian feature"
astronomy.plutoid.star_system	"Star System"
astronomy.red_shift.red_shift	"Red shift"
astronomy.red_shift.uncertainty	"Uncertainty"
astronomy.satellite_galaxy.satellite_of_this_galaxy	"Satellite of this galaxy"
astronomy.spectral_type.celestial_objects_of_this_spectral_type	"Objects of this spectral type"
astronomy.star.constellation	"Constellation"
astronomy.star.hipparcos_id	"Hipparcos ID"
astronomy.star.luminosity	"Luminosity"
astronomy.star.mass_m	"Mass"
astronomy.star.metallicity	"Metallicity Relative To Sol"
astronomy.star.planet_s	"Planets"
astronomy.star.radius	"Radius"
astronomy.star.rotation	"Rotation Rate"
astronomy.star.spectral_type	"Spectral Type"
astronomy.star.star_system	"Star System"
astronomy.star.temperature_k	"Temperature"
astronomy.star_system.constellation	"Constellation"
astronomy.star_system.dwarf_planets	"Dwarf Planets"
astronomy.star_system.planetary_system	"Planetary system"
astronomy.star_system.planets	"Planets"
astronomy.star_system.plutoids	"Plutoids"
astronomy.star_system.stars	"Stars"
astronomy.star_system.system_age	"System Age"
astronomy.star_system_body.absolute_magnitude	"Absolute magnitude"
astronomy.star_system_body.star_system	"Star system"
astronomy.telescope.housed_in	"Housed in"
astronomy.telescope.operational_altitude	"Operational altitude"
astronomy.telescope.operational_period	"Operational period"
astronomy.telescope.operational_platform	"Operational platform"
astronomy.telescope.type_of_telescope	"Type of telescope"
astronomy.telescope_platform.telescopes_based_on_this	"Telescopes based on this"
astronomy.telescope_principle_type.telescopic_classifications_of_this_technique	"Telescopic classifications of this technique"
astronomy.telescope_type.higher_classification	"Higher classification"
astronomy.telescope_type.lower_telescope_classification	"Lower telescope classification"
astronomy.telescope_type.telescopes_of_this_type	"Telescopes of this type"
astronomy.telescope_type.telescopic_principle	"Telescopic principle"
astronomy.trans_neptunian_object.region	"Region"
astronomy.trans_neptunian_region.trans_neptunian_objects	"Trans-Neptunian Objects"
astronomy.type_of_planetographic_feature.included_in	"Included in"
astronomy.type_of_planetographic_feature.includes	"Includes"
astronomy.type_of_planetographic_feature.planetographic_features_of_this_type	"Planetographic features of this type"
atom.feed.author	"author"
atom.feed.categories	"categories"
atom.feed.contributor	"contributor"
atom.feed.feed_id	"feed id"
atom.feed.items	"items"
atom.feed.links	"links"
atom.feed.source	"source"
atom.feed.subtitle	"subtitle"
atom.feed.updated	"updated"
atom.feed_category.scheme	"scheme"
atom.feed_category.term	"term"
atom.feed_item.authority	"authority"
atom.feed_item.categories	"categories"
atom.feed_item.created	"created"
atom.feed_item.expired	"expired"
atom.feed_item.feed	"feed"
atom.feed_item.item_id	"item id"
atom.feed_item.links	"links"
atom.feed_link.language	"language"
atom.feed_link.length	"length"
atom.feed_link.media_type	"media type"
atom.feed_link.rel	"rel"
atom.feed_link.text_encoding	"text encoding"
atom.feed_link.uri	"uri"
atom.feed_person.email	"email"
atom.feed_person.uri	"uri"
authority.un.unece.locode.es.agenda_d_esdeveniments	"Agenda d'esdeveniments"
authority.un.unece.locode.es.agenda_de_eventos	"Agenda de eventos"
automotive.automotive_class.examples	"Examples"
automotive.body_style.curb_weight	"Curb Weight"
automotive.body_style.examples	"Examples"
automotive.body_style.exterior_height	"Exterior Height"
automotive.body_style.exterior_length	"Exterior Length"
automotive.body_style.exterior_width	"Exterior Width"
automotive.body_style.front_headroom	"Front Headroom"
automotive.body_style.front_leg_room_in	"Front Leg Room"
automotive.body_style.front_shoulder_room	"Front Shoulder Room"
automotive.body_style.front_track	"Front Track"
automotive.body_style.fuel_tank_capacity	"Fuel Tank Capacity"
automotive.body_style.generation	"Generation"
automotive.body_style.luggage_capacity	"Luggage Capacity"
automotive.body_style.maximum_seating	"Maximum Seating"
automotive.body_style.passenger_volume_cu_ft	"Passenger Volume"
automotive.body_style.range	"Range"
automotive.body_style.rear_headroom	"Rear Headroom"
automotive.body_style.rear_leg_room	"Rear Leg Room"
automotive.body_style.rear_shoulder_room	"Rear Shoulder Room"
automotive.body_style.rear_track	"Rear Track"
automotive.body_style.turning_circle_m	"Turning Circle"
automotive.body_style.wheelbase	"Wheelbase"
automotive.cargo_bed.length	"Length"
automotive.cargo_bed.wall_width	"Wall Width"
automotive.cargo_bed.wheel_well	"Width at Wheel Well"
automotive.company.make_s	"Make(s)"
automotive.company.manufacturing_plants	"Manufacturing Plants"
automotive.designer.automobiles_designed	"Automobiles Designed"
automotive.driveline.trim_levels	"Trim Levels Available"
automotive.engine.engine_type	"Engine Type"
automotive.engine.forced_induction	"Forced Induction"
automotive.engine.fuel_delivery	"Fuel Delivery"
automotive.engine.fuels_used	"Fuels Used"
automotive.engine.horsepower	"Horsepower"
automotive.engine.make	"Make"
automotive.engine.size_in_liters	"Size"
automotive.engine.torque_ft_lbs	"Torque"
automotive.engine.trim_levels	"Trim Levels Available"
automotive.engine.used_in	"Used In"
automotive.engine_type.examples	"Examples"
automotive.engine_type.used_in	"Used In"
automotive.exterior_color.clear_coat	"Clear Coat"
automotive.exterior_color.color_code	"Color Code"
automotive.exterior_color.metallic	"Metallic"
automotive.fuel.engines	"Engines Using This Fuel"
automotive.generation.designer	"Designer"
automotive.generation.generation_number	"Generation Number"
automotive.generation.make	"Make"
automotive.generation.manufacturing_plant	"Manufacturing Plant"
automotive.generation.markets	"Markets"
automotive.generation.model	"Model"
automotive.generation.models	"Models"
automotive.generation.platforms	"Platforms"
automotive.generation.predecessor	"Predecessor"
automotive.generation.successor	"Successor"
automotive.generation.years	"Model Years"
automotive.generation.years_produced	"Years Produced"
automotive.make.model_s	"Model(s)"
automotive.make.parent_company	"Parent Company"
automotive.manufacturing_plant.company	"Company"
automotive.manufacturing_plant.location	"Location"
automotive.manufacturing_plant.models_manufactured	"Models Manufactured"
automotive.manufacturing_plant_model_relationship.from	"From"
automotive.manufacturing_plant_model_relationship.manufacturing_plant	"Manufacturing Plant"
automotive.manufacturing_plant_model_relationship.model	"Model"
automotive.manufacturing_plant_model_relationship.to	"To"
automotive.model.automotive_class	"Automotive Class"
automotive.model.generations	"Generations"
automotive.model.make	"Make"
automotive.model.manufactured_at	"Manufactured At"
automotive.model.model_years	"Model Years"
automotive.model.predecessor	"Predecessor"
automotive.model.related	"Related"
automotive.model.related_models	"Related models"
automotive.model.similar	"Sister Models"
automotive.model.successor	"Successor"
automotive.model_year.body_style	"Body Style"
automotive.model_year.examples	"Privately Owned Examples"
automotive.model_year.generation	"Generation"
automotive.model_year.make	"Make"
automotive.model_year.model	"Model"
automotive.model_year.next_model_year	"Next Model Year"
automotive.model_year.previous_model_year	"Previous Model Year"
automotive.model_year.trim_levels	"Trim Levels"
automotive.model_year.warranty	"Warranty"
automotive.model_year.year	"Year"
automotive.opt_trim_relationship.currency	"Currency"
automotive.opt_trim_relationship.included	"Included?"
automotive.opt_trim_relationship.msrp	"MSRP"
automotive.opt_trim_relationship.option	"Option"
automotive.opt_trim_relationship.option_id	"Option ID"
automotive.opt_trim_relationship.trim_levels	"Trim Levels"
automotive.option.option_packages	"Option Packages"
automotive.option_package.msrp	"MSRP"
automotive.option_package.options	"Options Included"
automotive.option_package.trim_levels	"Trim Levels"
automotive.platform.generations	"Generations"
automotive.platform.predecessor	"Predecessor"
automotive.platform.related	"Related Platforms"
automotive.platform.successor	"Successor"
automotive.privately_owned_vehicle.exterior_color	"Exterior Color"
automotive.privately_owned_vehicle.interior	"Interior"
automotive.privately_owned_vehicle.make	"Make"
automotive.privately_owned_vehicle.milage	"Milage"
automotive.privately_owned_vehicle.model	"Model"
automotive.privately_owned_vehicle.model_year	"Model Year"
automotive.privately_owned_vehicle.owner	"Owner"
automotive.similar_automobile_models.related_model	"Related model"
automotive.transmission.classification	"Classification"
automotive.transmission.number_of_gears	"Number Of Forward Gears"
automotive.transmission.number_of_reverse_gears	"Number Of Reverse Gears"
automotive.transmission.overdrive	"Overdrive"
automotive.transmission.select_shift	"Select Shift"
automotive.transmission.trim_levels	"Trim Levels Available"
automotive.transmission.used_in	"Used In"
automotive.transmission_type.transmissions	"Transmissions"
automotive.trim_level.acceleration	"Acceleration"
automotive.trim_level.cargo_volume	"Cargo Volume"
automotive.trim_level.doors	"Number of doors"
automotive.trim_level.driveline	"Driveline"
automotive.trim_level.engine	"Engine"
automotive.trim_level.exterior_colors	"Exterior Colors"
automotive.trim_level.front_headroom	"Front Headroom"
automotive.trim_level.front_legroom	"Front Legroom"
